mirageb
10 0.5
-754.014343 547.564026 -82.087708 0.000000 161.955994 0.000000
-1948.335083 791.863525 -45.397156 0.000000 169.526947 0.000000 False
-2248.438477 670.403381 -54.120605 0.000000 -173.796509 0.000000 False
-2016.958130 -492.964722 -164.844666 0.000000 -110.779953 0.000000 False
-1525.282227 281.112701 -169.156128 0.000000 -77.207451 0.000000 False
-1261.323608 176.286057 -167.968750 0.000000 -54.657326 0.000000 False
-2221.289307 197.085754 -159.968750 0.000000 -135.419540 0.000000 False
-2443.224121 340.500610 -167.474426 0.000000 -145.803345 0.000000 False
-830.932739 51.133297 -159.343018 0.000000 -32.854950 0.000000 False
-2120.395020 98.560799 -159.968750 0.000000 -107.104683 0.000000 False
-2003.950073 67.557671 -92.066101 0.000000 -88.536072 0.000000 False

